"id","component_or_chain","caller_or_sender","permission_or_identity","input_validation","path_symlink_metadata_gate","high_privilege_sink","untrusted_app_or_shell_to_sink","status","evidence"
"6SD-OTA-01","DeviceSoftwareOTA OtaService -> OTA controller methods","privileged OTA lifecycle/client; production ordinary caller not found","com.amazon.dcp.ota.permission.CONTROLLER; signature|privileged; OTA package is /system/priv-app","metadata/sanity -> recovery/package verification -> device/product/PVT checks -> hash/battery/space/state checks","staging uses basename plus FileHelper.moveFile; no Java canonicalPath/NOFOLLOW marker; helper/native semantics UNKNOWN","UpdateSystem.install -> recovery/update-binary capability","No evidence of ordinary app/shell reachability","PRIVILEGED_CAPABILITY_ONLY; caller-to-sink not established","findings/phase-6j-ota-apk-deep-review.md; findings/phase-6kt-recovery-verifier-provenance.md; work/luna_worker_ota_canonicalization_provenance_20260810.md"
"6SD-OTA-02","OSUpdateValidator/SideloadVerifier verification","DeviceSoftwareOTA privileged path; external caller to verifier not established","controller/privileged app context; RecoverySystem.verifyPackage delegated platform verifier","hash -> RecoverySystemWrapper.verifyPackage -> OSUpdatePropertiesValidator; sideload metadata and sanity checks precede recovery check","FileHelper/staging canonicalization and recovery verifier implementation UNKNOWN; no symlink test","Recovery/package signature-integrity boundary before install","No untrusted app/shell route shown","VERIFIER_GATE_CONFIRMED_NATIVE_HANDOFF_UNKNOWN","findings/phase-6j-ota-apk-deep-review.md:3.1-3.2; findings/phase-6kt-recovery-verifier-provenance.md"
"6SD-OTA-03","SideloadInstaller -> SideloadMover -> UpdateSystemWrapper","Sideload installer/internal OTA controller; ordinary caller not proven","CONTROLLER plus privileged OTA package; install branch calls verifySideloadWithoutRecoveryCheck after prior flow","basename destination; renameTo then copy/delete fallback","canonicalization flags/context/atomicity UNKNOWN","UpdateSystem.install handoff","No evidence of shell/ordinary-app input reaching handoff","REACHABILITY_UNKNOWN_NOT_BYPASS","findings/phase-6kt-recovery-verifier-provenance.md; work/luna_worker_ota_recovery_handoff_followup_20260810.md"
"6SD-OTA-04","recovery/update-binary main -> Edify registry -> extraction","Recovery/update-binary context; exact native caller provenance not recovered","privileged recovery identity; updater registry 24/24 static registrations","script member names and fixed destinations; path markers symlink_realpath/readlinkat/readlink present","selected CFG has no direct canonicalization-to-write edge; indirect/unselected dataflow UNKNOWN","PackageExtractFileFn -> ota_open/open; extraction/fsync/close","No shell/ordinary-app caller evidence; binary never executed","CAPABILITY_CONFIRMED_CALLER_UNKNOWN","findings/phase-6md-native-updater-path-audit.md; findings/phase-6mm-updater-blockimage-closure.md; work/luna_worker_ota_postinstall_followup_20260810.md"
"6SD-OTA-05","recovery/update-binary block-image/partition writer","recovery/update-binary invoked by authorized recovery path; exact caller UNKNOWN","recovery/high-privilege context; updater-script fixed system/vendor/boot/firmware by-name targets","VerifyBlocks-related branches observed","selected direct graph shows path markers but no complete indirect CFG/dataflow; no traversal/symlink input","PerformBlockImageUpdate -> open/chown/rename; WriteToPartition -> ota_open/ota_write -> write","No evidence from shell/ordinary app to writer","STATIC_CAPABILITY_ONLY; not exploit evidence","findings/phase-6md-native-updater-path-audit.md; findings/phase-6kt-recovery-verifier-provenance.md"
"6SD-OOBE-01","AmazonPackageManagerService.onBootPhase(550) -> BOOT_AFTER_SYSTEM_OTA -> BootAfterSystemOTAReceiver","system_server upgrade lifecycle; ordinary broadcast sender not proven","protected RECEIVE_BOOT_AFTER_SYSTEM_OTA signature|amazon plus isUpgrade/phase-550 sender gate","action/phase/upgrade predicate; receiver checks action, OOBE-running, retail_demo_mode and shared preferences","Context-derived receiver user; exact post-OTA numeric user UNKNOWN","enable OobeHomeActivity and write OOBE setup flags","No untrusted app/shell route established; no broadcast replay","PROTECTED_LIFECYCLE_SINK; not normal HOME API","findings/phase-6j-oobe-ota-review.md; findings/phase-6q-bootafter-system-ota.md; findings/phase-6mo-oobe-context-user-scope.md"
"6SD-OOBE-02","BootAfterSystemOTAReceiver OOBE side effects","system_server protected delivery","receiver action protected by RECEIVE_BOOT_AFTER_SYSTEM_OTA; component declaration exported/direct-boot-aware","action and OOBE/demo/shared-pref gates; no caller-controlled package argument","PackageHelper/SettingsDBUtils semantics are static; exact user remains UNKNOWN","PackageHelper.enableComponent(OobeHomeActivity); Settings.Secure setup/OOBE writes; no Fire Launcher preferred-HOME writer","No accepted untrusted caller proven; exported metadata alone is insufficient","STATIC_SINK_CONFIRMED_CALLER_UNKNOWN","findings/phase-6j-oobe-ota-review.md; findings/phase-6my-ota-receiver-package-helper-closure.md; work/luna_worker_phase6mn_inventory_20260810.md"
"6SD-RCV-01","Alexa Gemini system-OTA receivers","system OTA lifecycle sender expected; arbitrary sender UNKNOWN","manifest receiver has no component permission; action is part of protected OTA lifecycle in saved evidence","action match then access-control secure-setting read/copy","no package/path/symlink input","settings synchronization only; no HOME/package-install sink shown","No proof of shell/ordinary app reaching accepted delivery; no replay","RECEIVER_VISIBLE_BUT_ACCEPTED_CALLER_UNKNOWN","findings/phase-6j-oobe-ota-review.md; artifacts/phase6j/ota-alexa-system-ota-device-20260805-01/"
"6SD-RCV-02","TahoeUpdateReceiver MY_PACKAGE_REPLACED","PMS targeted package-replacement broadcast; arbitrary sender not shown","exported=true and no component permission; system-only action plus targetPackage=com.amazon.tahoe","action/target package plus current-account-child gate; fixed OOBE component only; no caller-supplied package/user sink","no dynamic path/symlink/metadata writer identified","Tahoe context disables OOBE component and starts MAIN/HOME transiently; no persistent HOME writer","No untrusted app/shell route demonstrated; exported flag alone is not reachability","BOUNDED_PROTECTED_SYSTEM_DISPATCH","findings/phase-6cg-tahoe-update-receiver-boundary.md"
"6SD-SRC-01","Official outer source tar completeness","not an installable OTA or runtime caller","archive metadata only; no permission context","35 members to real EOF; 23 regular/12 directories; 0 symlink/0 hardlink; no updater/recovery/post-install/partition member","no executable install sink in outer archive; launcher names only","No high-privilege executable sink observed","No caller or exploit implication","OUTER_SOURCE_BOUNDARY_CLOSED","findings/phase-6mi-source-tar-eof.md; artifacts/phase6mi-source-tar-eof-20260810-02/source-tar-summary.csv"
