evidence_id,scope,edge_or_control,observation,classification,confidence,source_path,source_locator,version_boundary
6SK-001,Java OTA,caller-to-verifier,"OSUpdateValidator hash -> RecoverySystemWrapper.verifyPackage -> android.os.RecoverySystem.verifyPackage",CONFIRMED,high,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/device/software/ota/tasks/validate/OSUpdateValidator.java,42-48;72-77,PS7331 adjacent source
6SK-002,Java OTA,verifier caller,"SideloadVerifier.verifySideloadPackage invokes RecoverySystemWrapper.verifyPackage after metadata/sanity checks",CONFIRMED,high,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadVerifier.java,37-48;55-58,PS7331 adjacent source
6SK-003,Java OTA,caller-to-install,"SideloadInstaller -> SideloadMover -> UpdateSystemWrapper.install -> UpdateSystem.install",CONFIRMED,high,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadInstaller.java,65-84,PS7331 adjacent source
6SK-004,Java OTA,install validation,"verifySideloadWithoutRecoveryCheck is paired with metadata/integrity validation; no verifier bypass established",CONFIRMED,medium,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadVerifier.java,55-66,PS7331 adjacent source
6SK-005,Java staging,path construction,"destination is external OTA data directory plus input basename",OBSERVED-CAPABILITY,high,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadMover.java,39-42,PS7331 adjacent source
6SK-006,Java staging,canonicalization/NOFOLLOW,"bounded Java scan found no canonicalPath or NOFOLLOW marker",UNKNOWN,bounded,artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json,findings; staging,PS7331 adjacent source
6SK-007,Java staging,rename/copy hardening,"renameTo then buffered copy fallback/source delete; existing destination uses MD5 comparison",OBSERVED-CAPABILITY,high,work/luna_worker_phase6sh_recovery_20260810.md,Reconciled findings; FileHelper 56-149;305-343,Phase 6SH bounded corpus
6SK-008,Archive boundary,symlink/traversal,"path audit reports no symlink entries, duplicate paths, or non-fixed bootdevice targets",CONFIRMED,high,artifacts/phase6bp/ota-path-audit-20260805-02/ota-path-audit.json,assessment; symlink_entries; blocklist,PS7331 adjacent OTA
6SK-009,Recovery native,update-binary capability,"registration/evaluation, block-image verify/update, ota_open/ota_write, and WriteToPartition symbols/edges are preserved",OBSERVED-CAPABILITY,high,artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json,binary_markers; findings,PS7331 adjacent OTA
6SK-010,Recovery script,partition-writer targets,"updater-script names fixed by-name system/vendor and boot/firmware targets",OBSERVED-CAPABILITY,high,firmware/extracted/PS7331/META-INF/com/google/android/updater-script,6;10;13;15-23,PS7331 adjacent OTA
6SK-011,Recovery reachability,low-privilege caller,"no shell or ordinary-app -> verifier/install -> recovery/update-binary -> writer chain in bounded reports",NEGATIVE-BOUNDARY,strong,artifacts/phase6kt/recovery-verifier-audit-20260810-01/audit.json,findings; execution_policy,PS7331 adjacent OTA
6SK-012,OTA controller,permission gate,"DeviceSoftwareOTA controller permission is protectionLevel 0x3 (signature|privileged)",CONFIRMED,high,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/035_DeviceSoftwareOTA.xmltree.txt,12-18;182-189,PS7331 adjacent manifest/source
6SK-013,Post-install/OOBE,receiver provenance,"system-server onBootPhase(550) + PMS.isUpgrade -> protected BOOT_AFTER_SYSTEM_OTA; OOBE predicates observed",CONFIRMED,medium,work/luna_worker_phase6sd_ota_20260810.md,Phase 6SD lifecycle chain,Phase 6SH/SD bounded corpus
6SK-014,Version scope,7.3.3.0 vs 7.3.3.1,"recorded device baseline is PS7330/7.3.3.0; extracted OTA is PS7331/7.3.3.1",VERSION-BOUNDARY,high,firmware/manifests/OTA-20260803-01/README.md,Device build and Downloaded OTA tables,PS7331 must not be treated as exact PS7330
