row_id,surface,source_config_image,selected_dtb_object,node_owner_mode_context,merged_te_or_genfs,shipped_native_opener,caller_uid_domain,operation,sink,closure_status,confidence,missing_edge,evidence
19C-C01,"ION top-level allocator","Phase18 18C-001/002 library closure retained; trona_defconfig CONFIG_ION=y CONFIG_MTK_ION=y","No boot-selected DTB/DTBO or exact vmlinux heap/object manifest; Image marker proves capability only","/dev/ion saved 0666 system:graphics; ion_device context","vendor_file_contexts /dev/ion -> ion_device; CIL allows exist but are not process invocation","gralloc.mt8183.so has DT_NEEDED/relocations to libion.so/libion_mtk.so and allocator symbols; exact /dev/ion open is inside dependency chain, not independently tied to service execution","candidate system/hal_graphics_allocator_default; service UID/domain from init/HAL metadata, implementation load unresolved","alloc/sync/import/free/custom through ION libraries","DMA/buffer/heap state; no PMS/AMS/HOME sink","UNKNOWN","High ELF dependency; low process/runtime","allocator service -> gralloc implementation load; exact runtime process and selected heap/DT edge","work/luna_worker_phase6tn_ion_loader_graph_20260810.{md,csv}; phase9 ELF E01/E02; phase18 18C-001/002"
19C-C02,"ION top-level composer","Phase18 18C-001/002 library closure retained; CONFIG_ION=y CONFIG_MTK_ION=y","No selected DTB/DTBO or exact built-in object join","/dev/ion saved 0666 system:graphics; ion_device context","ion_device policy references present; exact composer allow-to-node tuple not a caller proof","hwcomposer.mt8183.so has DT_NEEDED/relocations and IONDevice/import/map/share/free references","candidate system/hal_graphics_composer_default; service-to-hwcomposer load unresolved","ION import/map/share/free used by display allocator path","display/MDP/DMA state; no framework/package sink","UNKNOWN","High ELF dependency; low service invocation","composer service -> hwcomposer implementation load; selected object/DTB; runtime UID/domain and downstream display call","work/luna_worker_phase6tn_ion_loader_graph_20260810.{md,csv}; phase9 ELF E03-E05; phase18 18C-001/002"
19C-C03,"CMDQ/MDP native caller","CONFIG_MTK_CMDQ=y and CONFIG_MTK_CMDQ_TAB=y; Image cmdq literals present","Source DTS has GCE/CQDMA/MDP intent, but no boot-selected DTB/DTBO or exact built-in/module object manifest","/dev/mtk_cmdq saved crw-r--r-- system:system; mtk_cmdq_device context","vendor_file_contexts and CIL mtk_cmdq_device references; proc cmdq genfscon exists, exact caller allow unresolved","No exact shipped ELF containing both /dev/mtk_cmdq opener and CMDQ ioctl relocation/callsite","candidate hal_graphics_composer_default, hal_graphics_allocator_default, mtk_hal_camera, surfaceflinger, mediaserver; UID/domain not proven","CMDQ async exec/wait/alloc/free/readback; MDP async register/DMA","display/register/DMA state; no package/HOME sink","UNKNOWN","Medium source/config/node; low caller","exact native opener+ioctl; selected object/DTB; merged TE tuple; caller input-to-display sink","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-003; work/luna_worker_phase17_driver_policy_20260810.md; work/luna_worker_phase6tn_ion_loader_graph_20260810.md"
19C-C04,"M4U proc/DMA caller","CONFIG_MTK_M4U/source retained; active misc /dev/M4U_device branch is #if 0","MT8183 m4u node exists in source DTS, but selected DTB/object delivery is UNKNOWN","/proc/m4u source registration mode 0; related init metadata 0440 system:media; M4U_device context only","Exact /proc/m4u genfscon/TE allow is not closed; M4U_device label is not an active misc-node proof","No shipped ELF with /proc/m4u open/write or M4U ioctl callsite","UNKNOWN; system:media is node metadata, not caller identity","power/MVA/port/monitor/TF controls","IOMMU/DMA/port/power/monitor state; no framework sink","UNKNOWN","Medium source; low delivery/caller","compiled object/DTB; proc label+allow; native writer identity and validation-to-operation edge","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-004; work/luna_worker_phase13_driver_join_20260810.csv 13D-003"
19C-C05,"uinput/evdev synthetic input caller","trona_defconfig CONFIG_INPUT_EVDEV=y CONFIG_INPUT_UINPUT=y; source uinput/evdev fops present","No selected input object/DTB delivery evidence; input subsystem config is insufficient","/dev/uinput context candidate uinput_device; init metadata chown system:net_bt_admin; final mode unresolved","plat/vendor label conflict and exact uinput_device allow tuple unresolved","Native inventory has no exact shipped ELF open/write/UI_DEV_CREATE or uinput ioctl caller","UID/domain UNKNOWN","UI_DEV_CREATE/UI_DEV_DESTROY; event write; evdev ioctl","synthetic input graph; no HOME/PMS/AMS sink","UNKNOWN","Medium source/config; low caller","final ueventd mode/label; merged allow; shipped caller and downstream consumer","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-006; work/luna_worker_phase13_driver_join_20260810.csv 13D-004"
19C-C06,"AUXADC/gsensor calibration caller","CONFIG_MTK_AUXADC_INTF=y; Image contains AUXADC literals; gsensor compatibles occur in source DTS variants","EVT/DVT/proto DTS source variants exist; no boot-selected DTB/DTBO or exact driver object join","gsensor misc node mode/owner not source-specified; gsensor_device context marker only","Concrete calibration caller allow not found; type presence is not TE permission","No exact shipped ELF open/ioctl or proc/sysfs calibration writer","UID/domain UNKNOWN","GSENSOR calibration ioctls; AUXADC diagnostic/sysfs writes","sensor calibration/ADC diagnostic state; no package/HOME sink","UNKNOWN","Medium source/config/DTS marker; low caller","selected DTB; object delivery; node mode/label; merged allow; native calibration writer","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-007; work/luna_worker_source_scope_driver_audit_20260810.md"
19C-C07,"RPMB service-to-char caller","CONFIG_RPMB=y; CONFIG_RPMB_INTF_DEV unset in preserved config evidence","No final RPMB object/node registration or selected DTB/DTBO correspondence","rpmb_svc is shipped init service; /dev/rpmb0,/dev/emmcrpmb0 and block labels recorded, mode/owner incomplete","teei_rpmb_device/rpmb_block_device types exist; exact service-to-node allow/capability tuple unresolved","rpmb_svc ELF is present, but no exact open()+unlocked_ioctl callsite or service-to-driver edge recovered","rpmb_svc group/UID candidates from rc; effective SELinux domain and capability gate UNKNOWN","authenticated RPMB read/write/counter via ioctl; direct .read/.write are source-NULL","authenticated persistent storage state; no package/HOME sink","UNKNOWN","Medium source/label/service identity; low callsite","native callsite; service domain/UID; node mode/allow; authentication/validation and sink provenance","work/luna_worker_phase13_driver_join_20260810.csv 13D-007; work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-008; findings/phase-8-evidence-index.md:747-754"
19C-C08,"USB devio/URB caller","trona_defconfig USB/XHCI/MTK USB options enabled; source devio ioctl/URB paths present","MT8183 USB controller/PHY source nodes exist; selected DTB/controller object delivery not joined","usbfs/device node owner/mode not closed for exact client","usb_device policy may exist, but exact usbfs allow tuple and client domain are not joined","No preserved shipped ELF with USBDEVFS ioctl plus usbfs opener/URB submission callsite","UID/domain UNKNOWN","USBDEVFS ioctl; URB submit/control transfer","USB peripheral/control-transfer state; no package/HOME sink","UNKNOWN","Medium source/config/DTS; low caller","usbfs mode/label; controller object/DTB; exact native caller and policy edge","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-009; work/luna_worker_phase17_driver_policy_20260810.md"
19C-C09,"performance/perfmgr writer","perf_ioctl source and performance config retained; no final object/proc instance proof","No selected DTB/object join for /proc/perfmgr handler","source mode 0664; owner/group/file context for final proc path unresolved","proc /perfmgr genfscon and domain candidates (init/vendor_init/bootanim/cameraserver/mediaserver/surfaceflinger/system_server); exact writer allow not closed","No exact shipped ELF path-specific open/write/ioctl caller; init rc writes are trigger metadata only","init/vendor domains are candidates; effective UID/domain and trigger sequence UNKNOWN","FPSGO/perf ioctl and proc writes","scheduler/touch-boost/resource state; no package/HOME sink","UNKNOWN","Medium source/policy; low native caller","compiled object/proc instance; exact owner/mode; native writer and trigger-to-write edge","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-005; work/luna_worker_phase13_driver_join_20260810.csv 13D-005"
19C-C10,"Amazon diagnostic/test proc","amzn_drv_test Kconfig defaults n and is absent from trona_defconfig; official Image unique amzn_drvs marker count is zero","No shipped object/module/proc registration or selected DTB relevance established","source /proc/amzn_drvs children are not shipped-node metadata","No final file_contexts/genfscon/TE closure for test proc","No production ELF proc writer; connectivitydiag package presence is not native opener evidence","UID/domain UNKNOWN","conditional factory-reset/RTC test-index branches","conditional engineering/lifecycle state; no confirmed shipped sink","BOUNDED_NEGATIVE","High config/Image negative; low route completeness","final object/module manifest; proc policy; production caller and input-to-dispatch edge","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-010; artifacts/phase6nd-amzn-drv-test-image-marker-20260810-01/phase6nd-image-marker-audit.md; work/luna_worker_source_scope_driver_audit_20260810.md"
19C-C11,"Amazon liquid detection sysfs writer","CONFIG_AMAZON_LD/SWITCH retained in prior source/config evidence; amzn_ld.c sysfs stores present","amzn,ld appears in trona DVT/proto source DTS, but selected booted HVT/EVT DTB/DTBO and object delivery are UNKNOWN","sysfs attributes source 0664; final sysfs owner/mode/label not captured","sysfs file_contexts/genfscon and domain-specific write allow unresolved","No shipped native ELF writer for stop_detection/ctrl_mode/threshold/sleep_interval","UID/domain UNKNOWN","sysfs store operations controlling liquid/USB behavior","liquid-detection/USB/thermal behavior; no package/HOME sink","UNKNOWN","Medium source/config/DVT-DTS; low selected-node/caller","selected DTB; built object; sysfs label/TE allow; concrete native writer and sink edge","work/luna_worker_phase18_kernel_driver_callers_20260810.csv 18C-012; work/luna_worker_source_scope_driver_audit_20260810.md; work/ps7331-kasan-tree-20260810/platform/kernel/mediatek/mt8183/4.4/arch/arm64/boot/dts/mediatek/trona_proto.dts:1780-1784"
