id,caller_or_entry,permission_or_gate,user_profile_scope,identity_boundary,sink,evidence,status,next_step
P-001,"ordinary APK -> IAmazonUserManager tx3 enableKftLauncher(UserInfo)","Stub interface token only in bounded slice; no method-local UID/permission shown; downstream PMS applies cross-user/protected-package checks","caller-supplied UserInfo.id; intended child profile; User-0 payload tested","KFT component setters occur before later clearCallingIdentity; later DPM path restores identity","Tahoe FreeTimeLauncherActivity enable; Fire and Launcher3 application state=2","fosservices/disassembly.log:54297-54325,54371-54478; boot-fosframework/disassembly.log:370674-370777; findings/phase-6pr-kft-tx3-authorization-closure.md; hash fosservices ecbe62fe...; boot-fosframework fc101d79...","Static high-impact writer; ordinary User-0 and User-10 attempts rejected downstream; not proven exploitable","Safe: host-only review of newly loaded aliases/native callers. Rejected: repeat tx3/device mutation without a new build or exported relay"
P-002,"AmazonUserManagerImpl.createChildUser / system boot-phase child loop","trusted framework lifecycle; child predicate","new child/profile UserInfo.id; not a proven User-0 selector","Binder client path; service tx3 implementation later clears identity only for DPM empowerment","KFT launcher package/component state","boot-fosframework/disassembly.log:369180-369243; fosservices/disassembly.log:55053-55105; findings/phase-6ec-kft-tx3-reachability-boundary.md","Confirmed intended trusted child route","Safe: compare caller provenance already saved. Rejected: child creation or lifecycle replay"
P-003,"ordinary APK -> IAmazonUserManager tx4 setUserSetupComplete(UserInfo)","bounded slice shows no method-local UID/permission; ordinary APK reached service","caller-supplied UserInfo.id; User 10 tested","clearCallingIdentity before settings writes, then restore","Settings.Secure user_setup_complete and tv_user_setup_complete =1","fosservices/disassembly.log:54524-54566; output/tables/phase6gi-amazon-user-manager-tx4-user10.csv; findings/phase-6gi-amazon-user-manager-tx4-user10-deputy.md; raw hash ecbe62fe...","Confirmed bounded cross-user settings deputy; no PMS/HOME edge","Closed: do not repeat tx4; safe only to document the existing boundary"
P-004,"ordinary APK -> AmazonProfileService tx41 startProfilePicker(int)","no local guard visible; downstream getCurrentUser/startActivityAsUser requires INTERACT_ACROSS_USERS","explicit picker target/current-user lookup; no arbitrary package selector","no clearCallingIdentity shown in tx41","profile-picker activity start only; no HOME/PMS writer","fosservices/disassembly.log:77222-77266; boot-fosframework/disassembly.log:378462-378525; findings/phase-6er-amazon-profile-metadata-tx41-boundary.md; output/tables/phase6er-profile-metadata-tx41.csv","Ordinary caller reached Binder but SecurityException stopped before activity start; metadata seeding remains a partial integrity issue","Safe: static review of unseen aliases. Rejected: replay tx41 or claim HOME control"
P-005,"AmazonProfileService tx21 initiateLauncher / tx20 setStatus","PROFILE_INTERACTION signature|privileged checked via Binder PID/UID helper","service/profile state; no caller-selected user/package sink shown","no relevant identity relay in bounded methods","launcher/profile UI state; tx21 not a resolver writer","fosservices/disassembly.log:76246-76256,77028-77220,78949-79132; artifacts/phase6mq-profile-launcher-helper-20260810-01/evidence/profile-permission-check.txt; findings/phase-6mq-profile-launcher-helper-closure.md","Closed for ordinary app; profile picker/generic launcher branch is trusted-path behavior","Rejected: repeat permission probes; safe: host-only code diff on another artifact"
P-006,"AmazonProfileService local Handler $20 / defaultOrStartProfilePicker","local system-server context; no external Binder caller at sink","UserHandle.CURRENT; resolver winner, not selected package","service context starts activity as current user; no caller identity at sink","MAIN+HOME foreground trigger; does not change preferred record or package state","fosservices/disassembly.log:74281-74312; output/tables/phase6gs-amazon-profile-home-trigger.csv; findings/phase-6gs-amazon-profile-generic-home-trigger.md","Confirmed static HOME trigger, not a low-privilege writer; physical equivalent resolved Fire priority 50","Safe: reason about existing resolver state only. Rejected: treating trigger as replacement mechanism"
P-007,"ordinary APK -> AmazonDevicePolicyManager tx1/tx2 restriction","Amazon keys require MANAGE_USERS; generic branch lacks extra Amazon gate but DPM validates active admin/owner and caller UID","caller-supplied userId; User 0 tested","custom branch clears/restores identity around UserManager.setUserRestriction; generic DPM gate precedes sink","UserManager.setUserRestriction / DPM restriction state only","fosservices/disassembly.log:45935-46108; findings/phase-6et-amazon-dpm-restriction-gate.md; output/tables/phase6et-amazon-dpm-restriction-gate.csv","Ordinary tx1 rejected at active-admin gate; no HOME/PMS edge","Closed: do not repeat tx1/tx2; safe: host-only review of new method variants"
P-008,"IDevicePolicyManager tx100 addPersistentPreferredActivity","active admin/profile-owner and caller ownership gate; vendor callback requires LOCK_SCREEN_SERVICE; PMS downstream requires UID 1000 for tx73","target user controlled by DPM owner context; User 0 live owner tested","DPM clearCallingIdentity -> IPackageManager tx73; PMS checks Binder.getCallingUid()==1000","persistent preferred activity / potential HOME record","decompiled/jadx/systemui/sources/com/android/server/devicepolicy/DevicePolicyManagerService.java:6604-6621,8303-8321; boot-framework-disassembly.log:873968-874003,878864-878879; findings/phase-6dt-dpm-tx100-caller-gate.md; output/tables/phase6dt-dpm-tx100-caller-gate.csv; DPM source hash 83a43bca...","Confirmed caller gate; fake/live-owner malformed tests rejected; no preferred write","Rejected: repeat tx100 or owner provisioning. Safe: compare a different PS7331 artifact"
P-009,"com.amazon.parentalcontrols exported activities/receivers/providers","exported UI entries may be externally startable; policy service exported=false/BIND_JOB_SERVICE; lifecycle receivers signature|privileged or exported=false; providers permission protected","User 0 Profile Owner package; no arbitrary package argument found in sink paths","ParentalAdminUtils/DPM calls are in owner context; no untrusted relay into HOME writer shown","policy restrictions, hidden apps, search/map data; no persistent HOME or Fire package writer","manifest xmltree: lines 12-148,152-230; hash 5ef89e517f...; decompiled/jadx/parentalcontrols/sources/com/amazon/parentalcontrols/admin/ParentalAdminUtils.java:530-559; findings/phase-6ga-parental-owner-home-boundary.md and phase-6bu-parental-owner-reachability-closure.md","Exported surface reviewed; no ordinary relay proven. Static absence elsewhere remains unknown","Safe: manifest/code diff only. Rejected: password, DPM, admin, or component-state mutation tests"
P-010,"com.amazon.tahoe exported component surface","package requests privileged/signature capabilities; manifest exposure alone does not establish caller authorization","child/profile launcher component; KFT writer receives UserInfo.id","no Tahoe Binder identity relay to HOME writer established in bounded evidence","FreeTimeLauncherActivity is a downstream KFT component sink, not proof Tahoe can select User-0 HOME","manifest xmltree lines 7-153; hash 12055fed1f...; fosservices/disassembly.log:54297-54325; findings/phase-6kq-kft-tahoe-component-protection-boundary.md","No ordinary Tahoe route proven; component-state gate remains relevant","Safe: inspect only missing component records. Rejected: repeat component disable/enable tests"
