id,surface,entrypoint,caller,gate,identity,user_scope,sink,observed_effect,evidence,confidence,missing_edge,next_safe_step
OTA-01,PS7331 updater,updater-script lines 1-24,recovery/updater context implied,build-date and product abort; Edify execution boundary,recovery/native UID not recovered,fixed named targets only,block_image_update and package_extract_file to system/vendor/boot-chain/cache,static partition and cache write capability only; no execution,firmware/extracted/PS7331/META-INF/com/google/android/updater-script; artifacts/phase6i/phase6i-ota-postinstall-20260804-01/ota-findings.csv,high,low-privilege caller and actual execution not proven,hash and reread supplied signed package only
OTA-02,native updater,update-binary main -> registries -> PackageExtractFileFn/PerformBlockImageUpdate/WriteToPartition,recovery accepted updater invocation,indirect Edify/function-pointer dispatch; no shell API,privileged recovery identity not recovered,script-fixed paths,open/rename/chown/write and partition writer capability,static capability only; partition_written=false,firmware/extracted/PS7331/META-INF/com/google/android/update-binary; work/luna_worker_phase6sp_ota_native_20260810.md,high,dispatch caller; archive argument-to-target provenance; SELinux domain,host-side disassembly/pointer/argument tracing only
OTA-03,Java verifier and handoff,OSUpdateValidator/SideloadVerifier -> RecoverySystem.verifyPackage -> UpdateSystem.install,OTA app/controller path shown only as source/decompilation provenance,metadata/build/product/signature/PVT plus RecoverySystem API boundary,caller package/UID and native identity unresolved,staging path then recovery handoff,recovery accepted package/native updater,verification/staging/install flow statically observed; no native execution,findings/phase-6kt-recovery-verifier-provenance.md; work/luna_worker_phase6af_ota_verifier_gap_20260810.md,strong,AVB/rollback-index decision; final recovery exec/domain/UID; production caller,static verifier/AVB/init provenance audit; no crafted or downgrade package
OTA-04,AVB rollback and recovery handoff,RecoverySystem wrapper -> recovery/native verifier -> update-binary,exact production caller not recovered,signature|privileged controller boundary; native recovery verifier unknown,not established,not established,accepted package and updater exec boundary,not observed at runtime; updater/recovery not executed,work/luna_worker_phase6af_ota_verifier_gap_20260810.md; work/luna_worker_phase12_existing_evidence_20260810.md,medium,verifier-to-AVB/rollback-to-exec chain and SELinux identity,read existing audit/manifests and source only
OTA-05,cache/path helper,CacheSizeCheck -> MakeFreeSpaceOnCache -> __readlink_chk,PerformBlockImageUpdate callers at 0x409cb8/0x409ce0,nonzero error branch and indirect helper calls statically identified,recovery updater identity only,cache paths not attacker-controlled in evidence,cache free-space/readlink-family helper,static error/continuation semantics; no traversal or write effect established,artifacts/phase6ne-updater-cache-flow-20260810-03/focus-disassembly.txt; work/luna_worker_phase6af_ota_verifier_gap_20260810.md,strong,all callers; input/path provenance; relation to writer,offline CFG/dataflow only; do not test symlink/traversal
POST-01,post-install inventory,known OTA member audit,none established,package/member inventory only,not applicable,not applicable,no separate A/B postinstall executable found in bounded set,negative package-scoped finding; native updater and last_blocklist remain,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/result.md; work/luna_worker_ota_postinstall_followup_20260810.md,medium,outer tar listing did not reach verified EOF; unlisted members remain unknown,complete outer archive listing read-only
OOBE-01,BootAfterSystemOTA,AmazonPackageManagerService.onBootPhase(550) -> protected broadcast -> BootAfterSystemOTAReceiver,system-server lifecycle sender,phase 550 + isUpgrade(); protected RECEIVE_BOOT_AFTER_SYSTEM_OTA action,system-server context-derived numeric user unresolved,PackageHelper.setComponentEnabledSetting(OobeHomeActivity,state=1),static lifecycle writer; no replay and no runtime post-OTA effect,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/BootAfterSystemOTAReceiver.java; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:96087-96126,high,numeric user and natural delivery/persistence not closed,host-only Context/user trace; natural authorized OTA read-only observation only
OOBE-02,OOBE setup state,BootAfterSystemOTAReceiver -> OOBEActivationHelper/SettingsDBUtils,receiver lifecycle chain,receiver/action and upgrade/OOBE gates,receiver context identity,ContentResolver context-derived user; numeric User 0 unknown,Settings.Secure setup/OOBE keys,static settings writer only; HOME consumer not shown,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/OOBEActivationHelper.java; SettingsDBUtils.java; work/luna_worker_phase6aj_user_scope_closure_20260810.md,high,numeric user; persistence; downstream HOME resolver consumer,read-only source/dataflow and existing state only
OOBE-03,OOBE-to-HOME boundary,BootAfterSystemOTA OOBE helper chain,no ordinary caller established,protected lifecycle and OOBE gates,receiver/system lifecycle identity,User 0/other user not proven,OobeHomeActivity component state,no proven Fire Launcher HOME replacement,work/luna_worker_ota_postinstall_followup_20260810.md; work/luna_worker_phase6sq_home_pms_writer_20260810.md,strong,component state to resolver/HOME effect; exact user scope,trace first consumer statically; do not mutate settings or replay broadcast
DEX-01,otadexopt,OtaDexoptService onShellCommand -> OtaDexoptShellCommand -> IOtaDexopt.Stub,on-shell service capture only,done()/precondition gate,shell/service identity,service/user scope not relevant to partition route,OAT/VDEX dexopt state,existing capture reached precondition/error; mutating steps not executed,work/luna_worker_ota_init_privilege_inventory_20260810.md; findings/phase-6af-otadexopt-implementation-closure.md,high,mutating command caller and exact persistence; no OTA/partition/HOME join,read existing capture or offline implementation review
HOME-01,HOME/PMS writers,PMS setHomeActivity/replacePreferredActivity; Settings default-home writer; KFT launcher component writer,production ordinary caller not closed,permission/owner/profile/system gates vary,system/package-manager or profile identity,explicit user args; KFT child/profile scope; User 0 Fire target not proven,preferred HOME or package/component state writers,existing writers are capability only; no closed User-0 Fire HOME chain,work/luna_worker_phase6sq_home_pms_writer_20260810.md; work/luna_worker_phase12_existing_evidence_20260810.md,high,caller identity; target component; user provenance; persistence/effective resolver,host-side production caller and user-argument trace only
SEL-01,init/SELinux/native helper,fireossystemota_fosinit.xml callback registration and policy artifacts,callback implementation/native exec caller absent,init registration and stock enforcing/verified locked baseline,init/recovery identity not established,not fixed,callback/recovery policy boundary,configuration/policy surface only; no ordinary caller to privileged writer,work/luna_worker_phase6sp_ota_native_20260810.md; work/luna_worker_ota_init_privilege_inventory_20260810.md,strong,callback implementation; exact domain/allow tuple; final exec,read-only policy/context provenance audit
PHASE-01,prior Phase 5/6/10/12 evidence,phase reports and saved artifacts,phase-specific callers remain bounded or trusted,Phase 5 provenance/config; Phase 6 verifier/native/OOBE; Phase 10/12 caller/HOME reconciliation,phase-report identities only,not a single closed sink,partition/OOBE/HOME sinks as above,no prior result closes low-privilege OTA-to-partition route,findings/phase-5ba-ps7331-upgrade-assessment.md; work/luna_worker_phase6af_ota_verifier_gap_20260810.md; work/luna_worker_phase10c_ota_postinstall_closure_20260810.md; work/luna_worker_phase12_ota_20260810.md,high,corpus completeness and all listed caller/SELinux/AVB/user/persistence gaps,do not repeat prohibited runtime tests; reconcile only new host evidence
