"id","phase_scope","surface_or_claim","issue_type","classification","existing_label_or_result","reason_for_review","evidence_path","evidence_sha256","review_action"
"6SE-001","6SA","official outer archive completeness","overstated completeness","Unknown","6SA-001 CONFIRMED_OFFICIAL","The report explicitly says member enumeration did not reach verified EOF; artifact authenticity is supported, but archive member completeness is unresolved.","work/luna_worker_phase6sa_20260810.csv","38c3e0bf48a36d6331d199a2c0b8113e6ed7262ba6a3506e43d465a3aa10cda6","Keep official-artifact fact separate from archive-completeness status."
"6SE-002","6SA/6KT","SideloadMover/FileHelper path handling","static absence treated too strongly","Hypothesis","6SA-009 CONFIRMED_STATIC; 6KT-STAGE-001 Hypothesis","Basename move, rename/copy fallback, and no Java canonical/NOFOLLOW marker are static sensitivity only; native behavior and crafted-path behavior are not established.","output/tables/phase6kt-recovery-gates.csv","bf3373539efd9a5325f34e24c9c18a52382cd5d9b22ac85bc5566bb18c4f9036","Review as hardening hypothesis, not vulnerability or caller route."
"6SE-003","6SA/6MY","BOOT_AFTER_SYSTEM_OTA to OOBE component/settings sinks","sink vs reachability conflation","Strong evidence","6SA-013/014 CONFIRMED_STATIC; RX-01 CLOSED_FOR_ORDINARY_CALLER","System-server lifecycle, protected broadcast, receiver sink, and setup writes are strongly evidenced; exact numeric user and ordinary sender reachability remain unresolved.","work/luna_worker_phase6rx_20260810.csv","0b00714ae3fc01c954aea9cdedcc8d39331f822abb2d790eb32eaad77fd0dc5c","Retain sink as confirmed static fact, but classify low-privilege route only as not closed."
"6SE-004","6RY/6QE","CMDQ/MDP appdomain and ioctl surface","policy capability overread","Unknown","6RY row 1 source+config confirmed; 6QE policy-capability","Source has ioctl/user-copy paths and policy contains appdomain read/ioctl, but exact client, node access, SELinux runtime route, and sensitive effect are not joined.","work/luna_worker_phase6qe_driver_policy_20260810.csv","a6948b87852491dd5af9dc7d231db1cbb724de1eec9a66e7bdd8a29a5e087dca","Do not call ordinary-app reachability confirmed; complete static client/domain join only."
"6SE-005","6QE","gsensor factory 0666 policy stanza","retail/factory branch conflation","Hypothesis","6QE policy-capability; factory-conditional","Factory init contains a 0666 setup, while normal init is 0660 radio:system; the saved corpus does not prove the factory branch is active on retail image.","work/luna_worker_phase6qe_driver_policy_20260810.csv","a6948b87852491dd5af9dc7d231db1cbb724de1eec9a66e7bdd8a29a5e087dca","Keep conditional source/policy candidate; do not infer shipped writable node."
"6SE-006","6RZ/6QE","amzn_drv_test factory-reset/RTC dispatcher","shipped-path overclaim","Disproved","6RZ row 12 high-impact conditional; 6QE bounded-negative image marker","The source dispatcher exists, but trona defconfig omits CONFIG_AMZN_DRV_TEST and the saved Image audit found no matching marker; this disproves a confirmed shipped retail route, not source existence.","work/luna_worker_gpl_driver_surface_inventory_20260810.csv","e5705d76c1aaff3b76c0e4ad173717d2fee37e4d614d3d56d95edfbc12ff542f","Record as conditional source surface only."
"6SE-007","6RV/6RY/6RG","Amazon PM metadata/flags mutators tx1/2/4/5","caller/holder/source gap","Unknown","6RV STATIC_ONLY + UNKNOWN HOLDER; 6RY STATIC HOLDER/CALLER UNKNOWN","Permission check, explicit userId, and XML sink are static; exact holder, production caller, cross-user acceptance, and first sensitive consumer are not closed.","work/luna_worker_phase6ry_20260810.csv","15ccdb6a9dbd6b2c851502bf29b85f9cefb9634ba42fc6b10887d551f96d6fbb","Do not promote generated Proxy/Stub or facade to reachable privilege route."
"6SE-008","6RV/6MH/6RW","KFT launcher component writer as broad HOME/User-0 route","scope overclaim","Disproved","6RV-009/011 static child caller; 6RW-014 confirmed","The preserved writer targets supplied child/profile UserInfo.id and Fire/Tahoe/Launcher3 component state; no broad User-0 selector or formal HOME writer is closed.","work/luna_worker_phase6rv_20260810.csv","15ccdb6a9dbd6b2c851502bf29b85f9cefb9634ba42fc6b10887d551f96d6fbb","Keep child-scoped writer confirmed; mark broad User-0/HOME claim disproved within reviewed corpus."
"6SE-009","6SA/6MD/6QC","native extraction/block-image/partition sinks","missing exact source/hash in ledger","Unknown","6SA-006/007 CONFIRMED_STATIC","The 6SA CSV cites only “Phase 6MD/6QC native audit” for rows 006/007 and supplies no exact file path or input hash in those rows; sink fact is supported elsewhere but provenance is not row-complete.","work/luna_worker_phase6sa_20260810.csv","38c3e0bf48a36d6331d199a2c0b8113e6ed7262ba6a3506e43d465a3aa10cda6","Join exact native CSV/disassembly path and hash before final catalog integration."
"6SE-010","6SA/6KT","Recovery verifier and install handoff","boundary misread as ordinary caller","Probable","6SA-010/011 CONFIRMED_STATIC; 6KT VERIFY/HANDOFF Confirmed","Java wrapper-to-verifier and UpdateSystem.install handoff are well supported, but native verifier implementation and ordinary-app/shell caller chain are absent.","output/tables/phase6kt-recovery-gates.csv","bf3373539efd9a5325f34e24c9c18a52382cd5d9b22ac85bc5566bb18c4f9036","Integrate as privileged capability with no untrusted caller proof."
