row_id,permission_or_surface,declaration,holder_or_grant,production_caller,binder_entry,identity_user,sensitive_sink,status,exact_evidence,next_safe_host_only_step
"6RY-001","amazon.permission.ADD_RM_PKG_METADATA","Declaration UNKNOWN in bounded XML","Holder UNKNOWN; no exact grant row","AmazonPackageManagerImpl exact facade; upstream caller UNKNOWN","IAmazonPackageManager tx1-5 to BinderService","checkCallingOrSelfPermission; no clear identity; explicit userId","AmazonApplicationFlags to amazon_package_flags.xml; no HOME/PMS edge","STATIC; HOLDER/CALLER UNKNOWN","fosservices 95866-96037; boot-fosframework interface proxy stub; phase6mx inventory","Search exact-build definitions and facade callers offline"
"6RY-002","amazon.permission.ADD_RM_PKG_METADATA","Declaration UNKNOWN","Holder UNKNOWN","addAmazonFlagsForPackages to setAmazonFlagsForUser; caller UNKNOWN","tx4 setAmazonFlagsForUser; generated dispatch is not caller","Service permission check; UserHandle user","Flags map and XML; no HOME/package sink","STATIC METADATA ONLY; UNKNOWN","boot-fosframework 367184-367221; fosservices 698fe-69938; 6RV 001 004 015","Recover callers above facade offline; do not dispatch"
"6RY-003","amazon.permission.ADD_RM_PKG_METADATA","Declaration UNKNOWN","Holder UNKNOWN","addAmazonMetadataForPackage to setAmazonMetadataForUser; caller UNKNOWN","tx5 setAmazonMetadataForUser; generated dispatch is not caller","No clear identity; explicit userId; caller lists","Metadata XML; recency game-mode compatibility reads; no HOME sink","STATIC METADATA ONLY; UNKNOWN","boot-fosframework 367184-367289; fosservices 6993a-69976; 6RV 002 015","Search facade callers and first consumer offline"
"6RY-004","amazon.permission.ADD_RM_PKG_METADATA","Declaration UNKNOWN","Holder UNKNOWN","removeAmazonFlagsForPackages and removeAmazonMetadataForPackage; caller UNKNOWN","tx1 tx2 removal mutators; generated dispatch only","Permission check before removal; explicit userId; no identity normalization","Same XML writer; no HOME/PMS edge","STATIC REMOVAL; UNKNOWN","boot-fosframework 369119-369164; fosservices 69886-698fc; 6RV 003 004 015","Search callers and permission definition offline"
"6RY-005","amazon.permission.ADD_RM_PKG_METADATA","No declaration or privapp grant established","Holder UNKNOWN; absence is not vulnerability evidence","onBootPhase init is local lifecycle; not remote caller","AmazonPackageManagerService onBootPhase to flags init","System-server lifecycle; stored user IDs from XML","Read reload of amazon_package_flags.xml; no package/HOME write","STATIC LIFECYCLE; no caller claim","fosservices 95331-95455 and 96087-96100; 6RV 005","Inspect Context and user mapping offline; no replay"
"6RY-006","amazon.permission.ADD_RM_PKG_METADATA","Declaration UNKNOWN","Holder and caller UNKNOWN","PackageRecencyCallback trigger caller UNKNOWN","Local callback read path; no mutating Binder entry","Callback userId to read and broadcast; trigger UNKNOWN","Package-recency broadcast; no HOME/PMS writer","STATIC CONSUMER; UNKNOWN TRIGGER","fosservices 17489-17538; 6RV 006","Map saved callback registration only; do not broadcast"
"6RY-007","android.permission.CHANGE_COMPONENT_ENABLED_STATE","Declared by android package","signature privileged; system priv-app and Vending UID 10180 rows","KFT enableKftLauncherComponent exact static caller; ordinary join UNKNOWN","PMS component-state setter","Caller package gates; child UserInfo id; KFT clears identity downstream","Fire Tahoe Launcher3 child state; no formal HOME setter","HOLDER plus CHILD CALLER; User-0 join UNKNOWN","phase6mc summary holders; phase6lz table; fosservices 54297-54325","Join holder to caller UID and child user offline"
"6RY-008","android.permission.MANAGE_USERS","Declared by android package","signature privileged; system priv-app and Vending rows","createChildUser to AmazonUserManagerService; ordinary join UNKNOWN","AmazonUserManager child profile Binder path","Child profile gates; tx3 local authorization incomplete","Child KFT package writes only; no User-0 HOME","HOLDERS plus CHILD LIFECYCLE; ordinary caller UNKNOWN","phase6mc summary; phase6mh writer calls; 6RV 011","Join caller holder user offline; no create-user mutation"
"6RY-009","android.permission.WRITE_SECURE_SETTINGS","Declared by android package","signature privileged development; system priv-app and data-app rows","SettingsProvider writer family; exact caller UNKNOWN","ContentProvider insert update delete Binder entry","Caller identity retained; cross-user via ActivityManager","SettingsState XML; no HOME/PMS sink proven","HOLDER plus WRITER FAMILY; caller UNKNOWN","phase6mc summary; 6RV 012; phase6rs settings closure","Search provider callers and user mapping offline"
"6RY-010","android.permission.INSTALL_PACKAGES|android.permission.DELETE_PACKAGES","Declared by android package","signature privileged; installer Vending and system priv-app rows","Installer Vending OTA OOBE policy families; caller and target UNKNOWN","PMS install delete Binder API entries","Caller gates vary; user lifecycle scope unresolved","Package install delete state; no ADD_RM to HOME bridge","WRITER FAMILIES; caller target UNKNOWN","phase6mc summary; phase6mh writer calls; 6RV 014","Join writer bodies to package user inputs offline"
"6RY-011","android.permission.SET_PREFERRED_APPLICATIONS","Declaration holder exact in bounded corpus UNKNOWN","Holder UNKNOWN; Settings and shell callers are not holder proof","DefaultHomePicker and runSetHomeActivity static callers; effective caller UNKNOWN","PMS preferred-activity Binder API entries","Calling UID and userId preserved in bounded slice","Per-user preferred resolver XML; no low-priv route proven","STATIC SINK; holder and effective caller UNKNOWN","6RV 013; DefaultHomePreferenceController; 6IZ shell region","Map caller gate and target user offline"
"6RY-012","public/exported metadata","Exact PS7331 component corpus incomplete","Exported holder and required permission UNKNOWN when absent","No production caller proven; generated interfaces and test probes excluded","Public components and private Amazon services need exact manifest fosinit mapping","Identity user permission UNKNOWN unless source proves it","No new sensitive sink; tx6 tx7 first sinks receiver map PendingIntent","BOUNDED UNKNOWN; absence is not vulnerability evidence","6RV 6RW 001-010; phase6IP tx6 tx7 follow-up","Continue exact-build manifest scan offline; no invocation"
