id,scope,caller,gate,identity_user,sink,classification,evidence_path,evidence_sha256,class_method_offset,provenance_note
6TY-CHILD-01,child/profile-scoped,"AmazonUserManagerService.BinderService -> enableKftLauncher(UserInfo)","private AmazonUserManager path; existing lifecycle/MANAGE_USERS/system-user gate evidence; external caller not reconstructed","UserInfo.id; target is KFT child/profile user, not proven User-0","AmazonPackageManager.setComponentEnabledSetting(com.amazon.tahoe/.launcher.FreeTimeLauncherActivity,1,1,userId)",STRONG_STATIC,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,"AmazonUserManagerService$BinderService.enableKftLauncherComponent; codeOff 0x0431e2; invoke offset 0x04320a", "Exact Fire-adjacent child launcher state writer; no HOME/preferred sink"
6TY-CHILD-02,child/profile-scoped,"AmazonUserManagerService.BinderService -> enableKftLauncher(UserInfo)","same bounded private-service/lifecycle gate; legitimate tx3 caller remains UNKNOWN","UserInfo.id; child/profile scope","AmazonPackageManager.setApplicationEnabledSetting(com.amazon.firelauncher,2,0,userId)",STRONG_STATIC,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,"AmazonUserManagerService$BinderService.enableKftLauncherComponent; codeOff 0x0431e2; invoke offset 0x043228", "Fire package disable is explicitly user-parameterized; not a User-0 restoration writer"
6TY-CHILD-03,child/profile-scoped,"AmazonUserManagerService.BinderService -> enableKftLauncher(UserInfo)","same bounded private-service/lifecycle gate; no external caller proof","UserInfo.id; child/profile scope","AmazonPackageManager.setApplicationEnabledSetting(com.android.launcher3,2,0,userId)",STRONG_STATIC,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,"AmazonUserManagerService$BinderService.enableKftLauncherComponent; codeOff 0x0431e2; invoke offset 0x043242", "Companion child launcher package writer; not Fire restoration"
6TY-OOBE-01,fixed-OOBE,"AppAdapterHandler input/keymapping lifecycle -> goToRegistration()", "internal handler; no Binder caller UID/permission in writer slice; fixed device-registration branch","fixed component/default handler user context; no explicit User-0 argument","PackageManager.setComponentEnabledSetting(com.amazon.tv.oobe/.RegistrationActivity,1,1)",NOT_A_SINK,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,"AppAdapterHandler.goToRegistration; codeOff 0x02aaf6; invoke offset 0x02ab0c", "OOBE registration component writer only; no Fire/HOME sink"
6TY-OOBE-02,fixed-OOBE,"Boot-after-system-OTA/OOBE lifecycle -> OOBE activation helper", "protected OTA/system-server sender and OOBE predicates; manual delivery/replay excluded","OOBE setup state; exact delivered numeric user not closed","OOBE component/settings activation; no exact Fire restoration setter in bounded fosservices slice",STRONG_STATIC,findings/phase-6ab-evidence-index.md,c29b32bf6874b245859357d926773193c15771a6eb254f97edac57541ae5cb90,"BootAfterSystemOTAReceiver.java:27-80; fosservices lines 96107-96126", "Fixed OOBE writer family retained separately; not evidence of normal User-0 Fire writer"
6TY-POLICY-01,fixed-policy,"ProductPolicy local action -> EnableDisableComponentAction.enableDisableComponent(String,boolean)","trusted in-process ProductPolicy action; policy-file/user-list driven; action caller not exposed","supplied action user int v7; exact caller scope not in method slice","AmazonPackageManager.setComponentEnabledSetting(ComponentName,1/0,1/0,user)",NOT_A_SINK,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,"EnableDisableComponentAction.enableDisableComponent; codeOff 0x052642; invokes 0x052688 and 0x0526e8","Generic policy component setter; no Fire literal, HOME selector, or restoration identity"
6TY-POLICY-02,fixed-policy,"ProductPolicy local action -> EnableDisableComponentAction.enableDisableComponent(String,boolean)","same trusted in-process ProductPolicy gate","supplied action user int v7; exact caller scope not in method slice","AmazonPackageManager.setApplicationEnabledSetting(package,1/0,1/0,user)",NOT_A_SINK,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,"EnableDisableComponentAction.enableDisableComponent; codeOff 0x052642; invokes 0x052698 and 0x0526f4", "Generic policy application setter; generic setter is not promoted to Fire writer"
6TY-FIRE-USER0-01,User-0 Fire restoration candidate,"All bounded fosservices/services/boot-fosframework caller tables and setter/HOME searches","No exact production caller -> authorization gate -> User-0 identity chain reaches a Fire-targeted restoration setter or preferred-HOME write","User-0 appears in PMS generic API/read/resolve paths, but no Fire-specific writer provenance","No qualifying sink found; PMS setHomeActivity/replacePreferredActivity are generic framework sinks and no Fire caller/identity is joined",UNKNOWN,artifacts/phase6kv/pms-home-caller-closure-20260810-01/pms-home-callers.csv,dc1a86ea85904e3775704944fa86364a9a89033f6146eed0dac8b324b7028382,"PackageManagerService.setHomeActivity; services codeOff 0x2d5378, invoke offset 0x2d540c; replacePreferredActivity gate/implementation", "Bounded negative for provenance only; absence is not global absence proof"
6TY-FIRE-USER0-02,User-0 Fire restoration candidate,"HOME resolver -> com.amazon.firelauncher/.Launcher","resolver priority/state selection is a read/resolve path, not a restoration caller or writer","saved User-0 resolver result; no writer identity","resolve HOME selects Fire priority 50 in preserved observations; no setter/preferred write in exact-build bounded chain",NOT_A_SINK,output/call-graphs/phase6fz-user0-writer-closure-flow.mmd,dc1a86ea85904e3775704944fa86364a9a89033f6146eed0dac8b324b7028382,"HOME resolver node; Fire target node; host graph only", "Selection result does not prove restoration writer"
6TY-GENERIC-01,generic/non-Fire exclusion,"services generic writers: PMS shell, DPM, AMS, Bluetooth, IME, WebView/SystemImpl","framework/service-specific gates remain; no Fire target join","user parameter varies by method; not a Fire-specific identity chain","setApplicationEnabledSetting/setComponentEnabledSetting at generic system callsites",NOT_A_SINK,artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv,39ce24194ecead7109894d6bae3cfcf631118c9181ec446dc70a6dd3354f231c,"writer-calls.csv rows 7-22; services offsets 0x05da2c, 0x07cc08, 0x0d7ba8, 0x2dbb62, 0x2dbbc2, 0x108d22, 0x1de190, 0x1de234, 0x388692", "Explicit exclusion: generic setter is not a Fire restoration writer"
