service,entry,caller gate,permission,identity handling,sink,runtime evidence,status,next safe step
"audiosignalprocessor / AmazonAspService","hasCallerGotPermission","tablet device-family branch returns allow before permission check","com.amazon.permission.ASP_PERMISSION (signature|privileged|amazon)","no clearCallingIdentity; helper logs caller PID only","n/a authorization helper","service check/dumpsys found alias audiosignalprocessor; no method invocation","STATIC_PERMISSION_ANOMALY_CANDIDATE; low-privilege method reachability unproven","host-only correlate service publication and caller inventory; no Binder replay"
"audiosignalprocessor / AmazonAspService","command and capture/injection entry points","all reviewed entries call hasCallerGotPermission; tablet branch bypasses named permission","com.amazon.permission.ASP_PERMISSION","none observed in bounded methods","native ASP command/capture/injection path","ASP dump returned AFE header; Phase 6BV saved denial log exists but no payload/effect claim","static anomaly separated from actual low-privilege reachability; no HOME/package/root effect established","keep as static-only; inspect native/SELinux evidence only if already saved"
"SmartSuspend","setEnabled / setEnabledInternal","permission check before setter and internal write","com.amazon.permission.SMARTSUSPEND_SETTINGS","none observed around bounded setter","global setting key smartsuspend_enabled","service found and dump showed STATE_ACTIVE; setter not called","permission-gated settings sink; no low-privilege write evidence; not HOME/package/root","host-only permission-holder/protection review; do not call setter or mutate settings"
"SmartSuspend","setPeriod / setScheduleType","permission check in each reviewed setter","com.amazon.permission.SMARTSUSPEND_SETTINGS","none observed in bounded setter","SmartSuspend schedule/period state","service found by read-only capture; no setter invocation","static permission closure; runtime low-privilege reachability untested; no HOME/package/root effect","retain as closed read-only boundary; no mutation"
"amazonthermalservice","service publication and manager visibility","method-level authorization not recovered in bounded corpus","unknown","unknown","thermal manager/device thermal policy","service check/dumpsys found; no method call","visibility-only residual; anomaly not established and no downstream HOME/package/root edge","host-only map interface/implementation and permission markers"
"fosdebug","FireOSDebugService BinderService.dump","checkCallingOrSelfPermission(android.permission.DUMP)","android.permission.DUMP","clearCallingIdentity/restoreCallingIdentity bracket diagnostic enumeration; dump gate observed","diagnostic vendor/service inventory and native dump string","service found and existing dumpsys capture available; no custom Binder method surface identified","read-only diagnostics surface; low-privilege effect limited to dump visibility; no HOME/package/root sink","host-only verify dump permission protection and inventory provenance"
"amazonactivitymanager","preWarmApplicationForUser","checkCallingPermission result not consumed in bounded method; shell service-manager find denied","com.amazon.permission.APP_PREWARM","clearCallingIdentity before package lookup/process start; restore observed","system-server process/resource startProcessLocked prewarm path","ordinary APK prewarm reachability was observed in saved Phase 6ER/6KU evidence; shell private service find denied","STATIC_AUTH_ANOMALY with bounded ordinary-app process effect; no HOME/package/root sink","host-only inspect downstream startProcessLocked caller/user checks; no transaction replay"
"amazonactivitymanager","onActivityResume / observer registration","observer permission checks present for registration; no component-selection gate in notification path","ACTIVITY_SWITCH_WATCHER","clearCallingIdentity observed on bounded read path; no identity-clearing write relay","observer notification and focused-stack query","service-manager find denied for shell UID 2000; existing closure found no HOME/package writer","static surface closed for requested downstream effects; low-privilege reachability does not imply HOME control","host-only maintain method-to-sink map; no replay"
"amazonwindowmanager","setPipVisibility","method-local permission marker not observed in bounded implementation; shell service-manager find denied","not observed in bounded method","none observed","internal PiP visibility state","service-manager find denied for shell UID 2000; no downstream effect test","authorization anomaly candidate but sink is PiP/window state only; no HOME/package/root effect","host-only inspect caller path and WMS enforcement"
"amazonwindowmanager","stopAppPinningMode","delegated status-bar enforcement","enforceStatusBar","none relevant to downstream sink","status-bar app-pinning state","service-manager find denied for shell UID 2000; static delegated gate observed","protected control path; no permission anomaly or HOME/package/root sink","host-only retain as control comparison"
"amazon_input / AmazonInputManager","inject / injectSequence","helper checkInjectEventsPermission callsite/enforcement unresolved; service-manager find denied","checkInjectEventsPermission marker with unresolved enforcement","caller PID/UID passed to native; no clearCallingIdentity shown","nativeInject/nativeInjectSequence","existing static closure records shell find denied and no runtime injection","authorization unresolved statically; actual low-privilege reachability and native effect unproven; no HOME/package/root evidence","host-only resolve helper callsite/native SELinux boundary; no transaction replay"
