route,android_layer,implementation_boundary,public_target,exact_device,status,confidence,evidence,safe_next_step
KoCleo/mtk-easy-su,Kotlin Android wrapper + precompiled MTK native payload,ExploitHandler extracts LFS assets and invokes a bundled shell/Magisk path; payload source is not in the Android tree,legacy MediaTek devices; README warns about post-2020 firmware,same mtk-su64 payload hash was already tested on KFTRWI/trona/PS7330; no exact target profile,DISPROVED for this pinned payload/build,Confirmed,P5AA-MTK-001; P5E-CMDQ-007; P5-WEB-007,No repeat execution; only obtain exact signed vendor artifact for offline comparison
x-spy/CVE-2026-43499-popsicle,Android arm64 native preload + kernel futex/rtmutex,Boot/XBL-derived target generation and device-specific native build,Xiaomi 17 family; Snapdragon; Android 16; kernel 6.12.23,"SoC, Android release, kernel generation, boot artifact and target profile differ",NOT TRANSFERABLE,Confirmed,P5AA-ANDROID-005,Methodology reference only; do not copy constants or run the payload
Linuxoid-cn/CVE-2026-43499-Poc-Analysis,Android arm64 profile/target generator,Generic target/profile framework requiring exact boot and profile inputs,Xiaomi-oriented generic Android framework,No trona/MT8183/PS7330 profile or validated output,PORTING FRAMEWORK ONLY,Confirmed,P5AA-ANDROID-006,Static methodology review only
BuSung-dev/Root-My-Galaxy,Kotlin selector separated from model/kernel-specific payload feed,Selects a payload by supported model and kernel combination,Supported Samsung model and kernel combinations,No Amazon KFTRWI/trona payload or kernel match,NOT TRANSFERABLE,Confirmed,P5AA-ANDROID-001,No payload retrieval or installation
soralis0912/CVE-2026-43499-aristotle,Android arm64 native preload + kernel futex/rtmutex,"MediaTek port re-derives target layout, kernel anchors and runtime offsets for one device",au/KDDI Xiaomi XIG04; MediaTek; Android 12; kernel 5.10.136,MT8183/Android 9/4.4.146+/PS7330 differs; upstream README says the port was not hardware validated,NOT TRANSFERABLE,Confirmed,P5AA-ANDROID-002,Use only as a target-specific analysis pattern; no porting or trigger
CakesTwix/Android-CVE-2026-43499,Kotlin detector app + ABI-specific native test library,Detector infers vulnerability from native process termination behavior; it is not a root implementation,Android 7+ ARM; generic detector,No PS7330 validation; README warns the native test may crash/reboot a vulnerable device,DETECTOR ONLY / DO NOT RUN,Confirmed,P5AA-ANDROID-003,Static review only; no APK install
NebuSec/CyberMeowfia,Linux/native exploit research tree; Android target varies by port,Public source family with per-target Android adaptations,Multiple Linux/Android research targets; no exact trona profile,No exact KFTRWI/MT8183/PS7330 Android target,REFERENCE ONLY,Strong evidence,P5AA-ANDROID-007,Source attribution only
polygraphene/DirtyPipe-Android,Android native root PoC -> Linux pipe/page-cache path,Device-specific Android runner and payload; not an Android framework feature,Pixel 6 security patches 2022-02-05 through 2022-04-05,KFTRWI reports Linux 4.4.146+ and a 2024-02 patch; target/kernel family mismatch,VERSION MISMATCH,Confirmed,P5AA-ANDROID-004; P5AA-BASE-001,No install or trigger
tiann/DirtyPipeRoot,Android temporary-root wrapper,Device support varies by port; wrapper does not create target compatibility,Historical Android temporary-root project,No exact KFTRWI/MT8183/PS7330 support,WARNING-ONLY REFERENCE,Confirmed,P5AA-ANDROID-008,No install or trigger
R0rt1z2/fenrir,MediaTek preloader/secure-boot-chain PoC,Runs before Android userspace and depends on a device-specific boot-chain profile,Supported MediaTek devices listed by the project; no trona/KFTRWI profile,"No exact PS7330 preloader, DA/auth state or recovery set",LEVEL-3 / REJECTED,Strong evidence,P5AA-BOOT-001; P5-WEB-004,"No BROM/DA handshake, unlock, image write or preloader action"
Shocked-Cat/oppo-mtk-fastboot-unlock,OPlus factory-preloader modification,Boot-chain modification and preloader write; not Android userspace,Oppo/Realme/OnePlus MTK devices,Amazon trona is a different OEM boot chain; no exact image or rollback-safe recovery,LEVEL-3 / REJECTED,Strong evidence,P5AA-BOOT-001; P5-WEB-004,Host-side source review only
HackMD Qualcomm/ABL/IMQSNative/Magica candidates,Qualcomm bootloader or Xiaomi vendor-service chains,Requires Qualcomm ABL/GPU or Xiaomi-specific service/SELinux conditions,Qualcomm/Xiaomi devices described by the index,"MT8183 Amazon tablet; no Qualcomm ABL, Xiaomi MQSAS service or matching target evidence",INAPPLICABLE,"Confirmed, scope-scoped",P5AA-HACKMD-001; P5AA-BASE-001,Do not adapt commands or services
CVE-2026-43503,Linux networking skb/shared-fragment path,"Kernel networking issue, not an Android APK or framework HOME/root implementation",Separate CVE from GhostLock,No evidence connecting it to the observed Android 9 MT8183 path,UNRELATED TO GHOSTLOCK,Confirmed,P5AA-CVE-001,Do not combine with the GhostLock route
